customer_id,signup_date,last_active_date,tenure_days,segment,plan_type,region,device,acquisition_channel,sessions_last_30d,avg_session_duration,feature_usage_score,engagement_score,revenue,lifetime_value,churn,churn_date,churn_reason,retention_flag,revenue_at_risk,churn_rate,retention_rate,engagement_band,tenure_band
C0001,2024-04-12,2024-09-24,165,Individual,Standard,EU,Desktop,Referral,5,3.39,98,24.2,298.18,822.59,1,2024-10-14,Better Alternative,0,298.18,100,0,Low Engagement,91–180 Days
C0002,2024-12-14,2025-02-10,58,Individual,Basic,EU,Mobile,Organic,43,6.32,80,36.4,157.6,544.03,1,2025-02-21,Better Alternative,0,157.6,100,0,Medium Engagement,31–90 Days
C0003,2024-09-27,2025-09-08,346,SMB,Standard,EU,Mobile,Paid,39,5.55,55,29.9,196.14,424.14,1,2025-10-02,Low Engagement,0,196.14,100,0,Medium Engagement,181+ Days
C0004,2024-04-16,2024-07-18,93,Enterprise,Standard,EU,Desktop,Paid,44,1.16,23,15.2,60.27,104.71,1,2024-07-26,Low Engagement,0,60.27,100,0,Low Engagement,91–180 Days
C0005,2024-03-12,2024-09-14,186,SMB,Premium,US,Mobile,Paid,18,9.39,65,36.8,45.09,119.07,1,2024-10-09,Service Issues,0,45.09,100,0,Medium Engagement,181+ Days
C0006,2024-07-07,2024-12-11,157,SMB,Premium,EU,Mobile,Referral,31,1.7,12,12.2,141.66,469.28,1,2024-12-21,Price,0,141.66,100,0,Low Engagement,91–180 Days
C0007,2024-01-21,2024-05-27,127,Individual,Basic,EU,Desktop,Referral,26,7.19,61,32.3,55.64,170.71,1,2024-06-25,Service Issues,0,55.64,100,0,Medium Engagement,91–180 Days
C0008,2024-04-12,2025-03-29,351,SMB,Basic,APAC,Desktop,Referral,0,8.07,53,28.1,69.81,191.63,0,,Unknown,1,0.0,0,100,Medium Engagement,181+ Days
C0009,2024-05-01,2024-07-12,72,SMB,Basic,US,Mobile,Organic,42,8.16,14,30.9,410.21,873.79,1,2024-08-03,Price,0,410.21,100,0,Medium Engagement,31–90 Days
C0010,2024-08-02,2025-02-16,198,Individual,Basic,US,Desktop,Referral,32,2.22,68,22.2,38.66,99.89,1,2025-03-08,Price,0,38.66,100,0,Low Engagement,181+ Days
C0011,2024-11-26,2025-01-23,58,Individual,Premium,US,Desktop,Organic,39,5.03,2,20.7,336.29,565.8,1,2025-01-30,Service Issues,0,336.29,100,0,Low Engagement,31–90 Days
C0012,2024-03-28,2025-02-27,336,Individual,Basic,US,Desktop,Paid,31,8.46,36,32.8,150.83,431.06,0,,Unknown,1,0.0,0,100,Medium Engagement,181+ Days
C0013,2024-04-09,2024-12-31,266,SMB,Basic,EU,Mobile,Paid,4,3.72,36,15.5,438.34,1293.19,1,2025-01-09,Service Issues,0,438.34,100,0,Low Engagement,181+ Days
C0014,2024-12-25,2025-08-15,233,SMB,Standard,EU,Desktop,Organic,16,5.21,2,16.5,252.8,867.12,0,,Unknown,1,0.0,0,100,Low Engagement,181+ Days
C0015,2024-05-31,2024-10-28,150,SMB,Standard,APAC,Mobile,Referral,7,3.46,62,19.4,166.68,336.83,1,2024-11-09,Low Engagement,0,166.68,100,0,Low Engagement,91–180 Days
C0016,2024-05-10,2024-12-20,224,SMB,Basic,APAC,Mobile,Organic,41,5.17,34,26.2,268.47,412.61,0,,Unknown,1,0.0,0,100,Medium Engagement,181+ Days
